Unnamed: 0,brand,name,price,image_name
0,Versace,Greca Logo Watch,2780.0,0.jpg
2,TW Steel,Volante 45mm Men's Watch,399.0,2.jpg
3,Armani Exchange,Dark Brown Chronograph Watch,349.0,3.jpg
4,TW Steel,Canteen 45mm Men's Watch,549.0,4.jpg
5,TW Steel,CEO Tech 44mm Men's Watch,549.0,5.jpg
6,TW Steel,Volante 48mm Men's Watch,499.0,6.jpg
7,TW Steel,Volante 48mm Men's Watch,499.0,7.jpg
8,Superdry,Urban Track and Field Red Watch,69.0,8.jpg
9,TW Steel,Canteen 46mm Men's Watch,949.0,9.jpg
10,Superdry,Urban Black Watch,59.0,10.jpg
11,TW Steel,Volante 45mm Men's Watch,349.0,11.jpg
12,Superdry,Urban Midnight Black Watch,59.0,12.jpg
13,Superdry,Urban Red Watch,59.0,13.jpg
14,TW Steel,CEO Tech 44mm Men's Watch,579.0,14.jpg
15,TW Steel,Canteen 46mm Men's Watch,799.0,15.jpg
16,Superdry,Urban White Watch,59.0,16.jpg
17,TW Steel,CEO Tech 44mm Men's Watch,699.0,17.jpg
18,TW Steel,Canteen 46mm Men's Watch,799.0,18.jpg
19,Superdry,Urban Glitter White Watch,69.0,19.jpg
20,Emporio Armani,Two Tone Analogue Watch AR11223,679.0,20.jpg
21,Superdry,Urban Unisex Laser Blue Watch,59.0,21.jpg
22,TW Steel,Canteen 46mm Men's Watch,949.0,22.jpg
23,Superdry,Campus White Watch,69.0,23.jpg
24,TW Steel,Volante 45mm Men's Watch,399.0,24.jpg
25,Fossil,FB-01 Silver-Tone Analogue Watch,249.0,25.jpg
26,Emporio Armani,Black Chronograph Watch,939.0,26.jpg
27,Superdry,Urban Day Date Blue Watch,69.0,27.jpg
28,TW Steel,Volante Sport 48mm Men's Watch,599.0,28.jpg
29,Superdry,Tokyo Orange Watch,119.0,29.jpg
30,Superdry,Urban Pure Black Watch,59.0,30.jpg
31,Armani Exchange,Black Chronograph Watch AX2098,389.0,31.jpg
32,TW Steel,CEO Tech 44mm Men's Watch,619.0,32.jpg
34,TW Steel,CEO Tech 44mm Men's Watch,649.0,34.jpg
35,Superdry,Glitter Pink Watch,69.0,35.jpg
36,Police,Vibe Men's Watch,399.0,36.jpg
37,Michael Kors,Parker Women's Analogue Watch,539.0,37.jpg
38,Superdry,Urban Bold Orange Watch,69.0,38.jpg
39,Superdry,Urban Track and Field Violet Watch,69.0,39.jpg
40,Superdry,Urban Track and Field Grey Watch,69.0,40.jpg
41,Fossil,Grant Dark Brown Chronograph Watch,249.0,41.jpg
42,Garmin,Forerunner® 245 Music,579.0,42.jpg
43,Fossil,Georgia Rose Gold-Tone Analogue Watch,289.0,43.jpg
44,Fossil,Grant Dark Brown Chronograph Watch,249.0,44.jpg
45,Maserati,Maserati Sfida Black Watch,499.0,45.jpg
46,Fossil,Georgia Rose Gold-Tone Analogue Watch,289.0,46.jpg
47,TW Steel,Fast Lane Swiss Volante Limited Edition Men's Watch,749.0,47.jpg
48,Versace,V-Essential Watch,1130.0,48.jpg
49,Nixon,51-30 Chrono Watch,679.99,49.jpg
50,Fossil,FB-01 Silver-Tone Analogue Watch,249.0,50.jpg
51,Emporio Armani,Rose Gold-Tone Analogue Watch,679.0,51.jpg
52,Emporio Armani,Gold-Tone Women's Analogue Watch,739.0,52.jpg
53,Emporio Armani,Black Chronograph Watch AR0397,549.0,53.jpg
54,Olivia Burton,Busy Bees,439.0,54.jpg
55,Diesel,Mega Chief Black Chronograph Watch DZ4318,499.0,55.jpg
56,Nixon,Sentry Chrono Leather Watch,379.99,56.jpg
57,Nixon,Kensington Watch,259.99,57.jpg
59,Paul Hewitt,Chrono Black Mesh Watch,309.0,59.jpg
60,Police,Rotor Men's Watch,439.0,60.jpg
61,Garmin,Forerunner® 245 Music,579.0,61.jpg
62,Fossil,Fossil Flynn Black Watch BQ2092,539.0,62.jpg
63,VERSUS Versace,Moscova Analogue Watch,520.0,63.jpg
65,Emporio Armani,Emporio Armani Black Watch AR60054,979.0,65.jpg
66,VERSUS Versace,Estve 48mm Watch,595.0,66.jpg
67,Armani Exchange,Silver Tone Analogue Watch,299.0,67.jpg
69,Maserati,Maserati Tradizione Gunmetal Chronograph Watch,589.0,69.jpg
70,Armani Exchange,Black Men's Analogue Watch,349.0,70.jpg
71,Police,Gobustan Men's Watch,339.0,71.jpg
72,Nixon,Sentry Leather Watch,259.99,72.jpg
73,Nixon,Kensington Watch,259.99,73.jpg
74,Jag,Malcolm Men's Watch,149.0,74.jpg
75,Nixon,Corporal SS Watch,299.99,75.jpg
80,Jag,William Men's Watch,139.0,80.jpg
81,Police,Taronga Men's Watch,399.0,81.jpg
84,Nixon,Staple Watch,169.99,84.jpg
85,Nixon,Time Teller Acetate Watch,199.99,85.jpg
86,Police,Kediri Men's Watch,379.0,86.jpg
90,Tommy Hilfiger,Emery Bracelet Watch,349.0,90.jpg
91,Jag,Kennedy Men's Watch,199.0,91.jpg
92,Fossil,Neutra Brown Analogue Watch,449.0,92.jpg
93,Emporio Armani,Rose Gold-Tone Analogue Watch AR11355,739.0,93.jpg
94,Nixon,51-30 Chrono Watch,679.99,94.jpg
95,Nixon,Sentry Leather Watch,259.99,95.jpg
96,TW Steel,Fast Lane CEO Tech Limited Edition Watch,849.0,96.jpg
97,Nixon,51-30 Chrono Watch,679.99,97.jpg
99,Emporio Armani,Pink Analogue Watch AR11129,539.0,99.jpg
101,Versace,Hellenyium,2130.0,101.jpg
102,Paul Hewitt,Chrono Black Watch,299.0,102.jpg
103,Emporio Armani,Black Men's Analogue Watch,539.0,103.jpg
104,Nixon,51-30 Chrono Watch,679.99,104.jpg
105,Diesel,Axial Men's Digital Watch,599.0,105.jpg
106,Jag,Kennedy Men's Watch,199.0,106.jpg
108,Tommy Hilfiger,Tea Mesh Watch,289.0,108.jpg
109,Police,Malawi Men's Watch,279.0,109.jpg
111,Vivienne Westwood,East End Watch,739.0,111.jpg
112,Vivienne Westwood,Sydenham Watch,689.0,112.jpg
113,Jag,Billy Men's Watch,139.0,113.jpg
114,Paul Hewitt,Sailor Modest Blue Lagoon Watch,259.0,114.jpg
115,Nixon,Kensington Watch,259.99,115.jpg
117,Diesel,The Daddies Series Black Analogue Watch DZ7395,839.0,117.jpg
118,Swatch,Big Bold Watch,165.0,118.jpg
119,Fossil,Neutra Chrono Men's Analogue Watch,299.0,119.jpg
120,Nixon,Sentry Leather Watch,259.99,120.jpg
121,August Berg,Serenity 40mm Tan Watch,329.95,121.jpg
122,Vivienne Westwood,Bloomsbury Watch,739.0,122.jpg
123,Doxie Watches,Gemimah 40mm Watch,189.0,123.jpg
124,Police,Malawi Men's Watch,279.0,124.jpg
125,Police,Vibe Men's Watch,459.0,125.jpg
126,Emporio Armani,Emporio Armani Black Watch AR11387,599.0,126.jpg
127,Maserati,Maserati Sfida Gold Watch,549.0,127.jpg
128,Vivienne Westwood,East End Watch,739.0,128.jpg
129,Vivienne Westwood,Sydenham Watch,689.0,129.jpg
130,Fossil,Machine Black Chronograph Watch FS4682IE,339.0,130.jpg
132,Armani Exchange,Rose Gold-Tone Women's Analogue Watch,349.0,132.jpg
